id;numer;latitude;longitude;nazwa
1;15001;51.108004;17.039528;Plac Dominikański (Galeria Dominikańska)
2;15002;51.09710806;17.03610957;Dworzec Główny, południe
3;15003;51.109782;17.030175;Rynek
4;15004;51.09975;17.036228;Dworzec Główny 
5;15005;51.124879;17.045844;Nowowiejska / Jedności Narodowej
6;15006;51.125276;16.984447;Legnicka / Wejherowska
7;15007;51.112154;17.060451;Rondo Reagana
8;15008;51.100862;17.008224;Pereca / Grabiszyńska
9;15009;51.086689;17.01248;Powstańcow Śląskich / Aleja Hallera
10;15010;51.094413;16.980911;Grabiszyńska / Aleja Hallera
11;15011;51.094521;17.020876;Szczęśliwa (Sky Tower)
12;15012;51.112911;17.00136;Śrubowa / Strzegomska
13;15013;51.105207;17.053675;Na Grobli (PWr - Geocentrum)
14;15014;51.126907;16.978759;Lotnicza / Na Ostatnim Groszu
15;15015;51.095322;17.033388;Dyrekcyjna / Borowska (Wroclavia)
16;15016;51.088908;17.034051;Kamienna / Borowska (Aquapark)
17;15017;51.11356205;17.05067396;Wyszyńskiego / Szczytnicka
18;15018;51.111727;17.06768;Radeckiego / Marcinkowskiego (Uniw. Medyczny - CNIM)
19;15019;51.074868;17.032457;Borowska (Uniw. Szpital Kliniczny)
40;15040;51.110001;17.047736;Plac Powstańców Warszawy (Muzeum Narodowe)
20;15020;51.121059;16.993088;Legnicka (Park Magnolia)
21;15021;51.118237;17.028792;Kurkowa / Dubois
22;15022;51.116612;17.023873;Jagiełły / Dmowskiego 
23;15023;51.091457;17.017405;Plac Powstańców Śląskich
24;15024;51.10592;17.075857;Wróblewskiego (ZOO)
25;15025;51.084239;17.02439;Ślężna / Aleja Wiśniowa
26;15026;51.103216;16.9461;Trymanda / Mińska
27;15027;51.109332;17.060511;Janiszewskiego (PWr)
28;15028;51.107235;17.060715;Norwida / Wyspiańskiego (PWr)
29;15029;51.120474;17.036641;Plac Świętego Macieja / Trzebnicka
30;15030;51.099401;16.941016;Mińska / stanisławowska
31;15031;51.11236;16.973689;Traktatowa (przystanek kolejowy)
32;15032;51.110274;17.034912;Wita Stwosza / Szewska
33;15033;51.103354;17.030704;Plac Kościuszki (Renoma)
34;15034;51.111489;17.020981;Plac Jana Pawła II (Akademia Muzyczna)
35;15035;51.113871;17.034484;Plac Uniwersytecki (UWr)
36;15036;51.1124406;16.988554;Fabryczna / Wagonowa
37;15037;51.104413;17.022536;Plac Legionów
38;15038;51.101322;17.028528;Świdnicka / Piłsudskiego (Hotel Scandic)
39;15039;51.1004;17.045083;Kościuszki / Pułaskiego
41;15041;51.098959;17.051519;Kościuszki / Komuny Paryskiej / Zgodna
42;15042;51.104571;17.048102;Traugutta / Pułaskiego
43;15043;51.115354;16.998732;Stacyjna (Dworzec Mikołajów)
44;15044;51.113703;17.006287;Plac Strzegomski / Poznańska
45;15045;51.117668;17.007137;Zachodnia / Poznańska
46;15046;51.117032;17.033499;Drobnera / Dubois
47;15047;51.121308;17.043077;Poniatowskiego / Oleśnicka
48;15048;51.122424;17.052013;Nowowiejska / Wyszyńskiego
49;15049;51.12566;17.050463;Żeromskiego / Daszyńskiego
50;15050;51.122313;17.047515;Żeromskiego / Kluczborska
51;15051;51.110662;17.052712;Joliot-Curie (Uwr)
52;15052;51.115564;17.060704;Sienkiewicza / Piastowska
53;15053;51.116822;17.051845;Sienkiewicza / Wyszyńskiego
54;15054;51.110415;17.055591;Plac Grunwaldzki / Polaka
55;15055;51.10411;17.084711;Wróblewskiego (Teki)
56;15056;51.094653;17.026775;Komandorska / Sanocka
57;15057;51.089842;17.028225;Ślężna / Kamienna (Uniw. Ekonomiczny)
58;15058;51.08451;16.97223;Oporów (pętla tramwajowa)
59;15059;51.097209;17.013967;Zaporoska / Gajowicka
60;15060;51.097147;17.056251;Traugutta / Kościuszki
61;15061;51.119311;17.056784;Nowowiejska / Górnickiego
62;15062;51.113912;17.067207;Plac Grunwaldzki (DS Ołówek)
63;15063;51.102117;17.013683;Zaporoska / Grabiszyńska
64;15064;51.099354;17.000697;Grabiszyńska / Stalowa
65;15065;51.093426;17.002893;Krucza / Mielecka / Stalowa
66;15066;51.089315;17.001501;Aleja Hallera / Mielecka
67;15067;51.095597;17.008045;Grochowa / Jemiołowa,
68;15068;51.099713;17.027905;Powstańców Śląskich (Arkady Wrocławskie)
69;15069;51.113141;17.012175;Legnicka / Młodych Techników
70;15070;51.098027;17.006977;Żelazna / Pereca
71;15072;51.107471;17.033335;Szewska / Kazimierza Wielkiego 
72;15073;51.122636;16.975708;Na Ostatnim Groszu
73;15074;51.096659;16.988566;Grabiszyńska / Magazynierska (Corte Verona)
74;15075;51.117155;17.000368;Legnicka / Zachodnia 
75;15076;51.11277;16.994446;Robotnicza / Fabryczna
76;15077;51.104163;17.031115;Fosa Miejska 
109;15107;51.11869;16.95336;Rogowska / Zemska
77;15078;51.108288;17.064884;Łukasiewicza / Smoluchowskiego (PWr)
78;15079;51.110342;17.02601;Kazimierza Wielkiego (Helios)
79;15080;51.117557;17.040967;Drobnera / Plac Bema
80;15081;51.147339;17.11452;Krzywoustego - Rynek Psie Pole
81;15082;51.13699;16.966199;Pilczycka / Kozanowska
82;15083;51.132259;17.065453;Aleja Kromera
83;15084;51.145074;16.871502;Leśnica - pętla tramwajowa
84;15085;51.074992;17.007058;Krzycka / Aleja Karkonoska (Park Południowy)
85;15086;51.063834;17.083366;Mościckiego (stacja kolejowa)
86;15094;51.136111;17.036262;Żmigrodzka / Broniewskiego
87;15087;51.059458;17.006542;Zwycięska / Ołtaszyńska
